"Station","DBKEY","Daily.Date","Data.Value","Qualifer","Revision.Date","Date"
"S77_T","65461","19-MAR-2012",11.12,"","22-FEB-2021",2012-03-19
"S77_T","65461","20-MAR-2012",10.81,"","22-FEB-2021",2012-03-20
"S77_T","65461","21-MAR-2012",11.03,"","22-FEB-2021",2012-03-21
"S77_T","65461","22-MAR-2012",10.85,"","22-FEB-2021",2012-03-22
"S77_T","65461","23-MAR-2012",10.72,"","22-FEB-2021",2012-03-23
"S77_T","65461","24-MAR-2012",11.03,"","22-FEB-2021",2012-03-24
"S77_T","65461","25-MAR-2012",11.1,"","22-FEB-2021",2012-03-25
"S77_T","65461","26-MAR-2012",10.95,"","22-FEB-2021",2012-03-26
"S77_T","65461","27-MAR-2012",10.69,"","22-FEB-2021",2012-03-27
"S77_T","65461","28-MAR-2012",10.91,"","22-FEB-2021",2012-03-28
"S77_T","65461","29-MAR-2012",11.11,"","22-FEB-2021",2012-03-29
"S77_T","65461","30-MAR-2012",11.1,"","22-FEB-2021",2012-03-30
"S77_T","65461","31-MAR-2012",11.04,"","22-FEB-2021",2012-03-31
"S77_T","65461","01-APR-2012",11.08,"","22-FEB-2021",2012-04-01
"S77_T","65461","02-APR-2012",11.15,"","22-FEB-2021",2012-04-02
"S77_T","65461","03-APR-2012",11.09,"","22-FEB-2021",2012-04-03
"S77_T","65461","04-APR-2012",10.88,"","22-FEB-2021",2012-04-04
"S77_T","65461","05-APR-2012",10.99,"","22-FEB-2021",2012-04-05
"S77_T","65461","06-APR-2012",11.01,"","22-FEB-2021",2012-04-06
"S77_T","65461","07-APR-2012",11.08,"","22-FEB-2021",2012-04-07
"S77_T","65461","08-APR-2012",11.17,"","22-FEB-2021",2012-04-08
